url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,147,64
/davefx/dfx-ha-history-editor/issues,14,9
/davefx/dfx-ha-history-editor/issues/78,8,6
/davefx/dfx-ha-history-editor/commits,7,7
/davefx/dfx-ha-history-editor/issues/76,4,4
/davefx/dfx-ha-history-editor/releases/v1.4.0,4,4
/davefx/dfx-ha-history-editor/blob/main/CLAUDE.md,2,2
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,2,2
/davefx/dfx-ha-history-editor/tree/main/examples,2,2
/davefx/dfx-ha-history-editor/issues/65,2,1
