time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,20,9,15,6
2026-08-09 00:00:00+00:00,3,2,6,5
2026-08-10 00:00:00+00:00,4,3,8,5
2026-08-11 00:00:00+00:00,17,7,2,2
2026-08-12 00:00:00+00:00,16,6,10,3
2026-08-13 00:00:00+00:00,19,8,14,6
2026-08-14 00:00:00+00:00,18,8,25,9
2026-08-15 00:00:00+00:00,5,4,18,7
2026-08-16 00:00:00+00:00,3,2,9,5
2026-08-17 00:00:00+00:00,7,6,13,3
2026-08-18 00:00:00+00:00,18,14,12,4
2026-08-19 00:00:00+00:00,11,10,3,3
2026-08-20 00:00:00+00:00,21,10,15,9
2026-08-21 00:00:00+00:00,8,7,16,7
