url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,110,63
/davefx/dfx-ha-history-editor/issues,17,11
/davefx/dfx-ha-history-editor/issues/65,6,6
/davefx/dfx-ha-history-editor/issues/79,4,4
/davefx/dfx-ha-history-editor/pull/80,3,3
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,2,2
/davefx/dfx-ha-history-editor/releases/v1.4.1,2,2
/davefx/dfx-ha-history-editor/blob/main/CHANGELOG.md,2,1
/davefx/dfx-ha-history-editor/issues/76,2,1
/davefx/dfx-ha-history-editor/issues/new,2,1
