time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,15,6,13,6
2026-09-03 00:00:00+00:00,12,4,19,9
2026-09-04 00:00:00+00:00,4,3,8,4
2026-09-05 00:00:00+00:00,5,4,12,6
2026-09-06 00:00:00+00:00,3,2,12,6
2026-09-07 00:00:00+00:00,3,2,19,9
2026-09-08 00:00:00+00:00,26,13,2,2
2026-09-09 00:00:00+00:00,32,15,8,6
2026-09-10 00:00:00+00:00,6,5,9,6
2026-09-11 00:00:00+00:00,5,4,23,6
2026-09-12 00:00:00+00:00,22,11,4,3
2026-09-13 00:00:00+00:00,27,16,4,2
2026-09-14 00:00:00+00:00,6,5,16,7
2026-09-15 00:00:00+00:00,23,9,5,4
