url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,46,27
/davefx/dfx-ha-history-editor/issues,4,4
/davefx/dfx-ha-history-editor/releases/tag/v1.3.0,3,2
/davefx/dfx-ha-history-editor/pulse,2,2
/davefx/dfx-ha-history-editor/releases,2,2
/davefx/dfx-ha-history-editor/blob/main/requirements-test.txt,1,1
/davefx/dfx-ha-history-editor/commit/c7ef711c0799319a572aa5cb806a243339abe2d4,1,1
/davefx/dfx-ha-history-editor/commits,1,1
/davefx/dfx-ha-history-editor/commits/main,1,1
/davefx/dfx-ha-history-editor/projects,1,1
